Epoch 249: Loss=0.4619, Accuracy=74.3235, Precision=0.7430, F1=0.7410
Epoch 250: Loss=0.4621, Accuracy=74.3676, Precision=0.7446, F1=0.7416
Epoch 251: Loss=0.4600, Accuracy=74.3523, Precision=0.7458, F1=0.7422
Epoch 252: Loss=0.4576, Accuracy=74.6303, Precision=0.7465, F1=0.7441
Epoch 253: Loss=0.4607, Accuracy=74.4644, Precision=0.7458, F1=0.7429
Epoch 254: Loss=0.4588, Accuracy=74.5632, Precision=0.7471, F1=0.7433
Epoch 255: Loss=0.4594, Accuracy=74.5641, Precision=0.7475, F1=0.7446
Epoch 256: Loss=0.4578, Accuracy=74.5756, Precision=0.7467, F1=0.7441
Epoch 257: Loss=0.4601, Accuracy=74.4826, Precision=0.7463, F1=0.7424
Epoch 258: Loss=0.4609, Accuracy=74.3609, Precision=0.7452, F1=0.7419
Epoch 259: Loss=0.4582, Accuracy=74.5181, Precision=0.7464, F1=0.7435
Epoch 260: Loss=0.4581, Accuracy=74.6772, Precision=0.7495, F1=0.7454
Epoch 261: Loss=0.4580, Accuracy=74.6791, Precision=0.7485, F1=0.7452
Epoch 262: Loss=0.4564, Accuracy=74.5900, Precision=0.7474, F1=0.7445
Epoch 263: Loss=0.4575, Accuracy=74.5258, Precision=0.7467, F1=0.7430
Epoch 264: Loss=0.4571, Accuracy=74.5842, Precision=0.7456, F1=0.7435
Epoch 265: Loss=0.4555, Accuracy=74.5919, Precision=0.7484, F1=0.7451
Epoch 266: Loss=0.4564, Accuracy=74.6619, Precision=0.7468, F1=0.7445
Epoch 267: Loss=0.4574, Accuracy=74.7616, Precision=0.7481, F1=0.7448
Epoch 268: Loss=0.4554, Accuracy=74.5910, Precision=0.7470, F1=0.7442
Epoch 269: Loss=0.4572, Accuracy=74.4357, Precision=0.7441, F1=0.7424
Epoch 270: Loss=0.4569, Accuracy=74.5929, Precision=0.7472, F1=0.7442
Epoch 271: Loss=0.4538, Accuracy=74.9006, Precision=0.7500, F1=0.7470
Epoch 272: Loss=0.4545, Accuracy=74.6418, Precision=0.7466, F1=0.7434
Epoch 273: Loss=0.4562, Accuracy=74.7232, Precision=0.7484, F1=0.7465
Epoch 274: Loss=0.4554, Accuracy=74.5910, Precision=0.7487, F1=0.7438
Epoch 275: Loss=0.4561, Accuracy=74.5651, Precision=0.7492, F1=0.7440
Epoch 276: Loss=0.4563, Accuracy=74.4999, Precision=0.7461, F1=0.7436
Epoch 277: Loss=0.4578, Accuracy=74.4501, Precision=0.7460, F1=0.7431
Epoch 278: Loss=0.4561, Accuracy=74.6092, Precision=0.7468, F1=0.7441
Epoch 279: Loss=0.4550, Accuracy=74.6964, Precision=0.7494, F1=0.7452
Epoch 280: Loss=0.4541, Accuracy=74.6408, Precision=0.7460, F1=0.7439
Epoch 281: Loss=0.4527, Accuracy=74.7136, Precision=0.7478, F1=0.7447
Epoch 282: Loss=0.4519, Accuracy=74.6552, Precision=0.7470, F1=0.7445
Epoch 283: Loss=0.4535, Accuracy=74.5689, Precision=0.7478, F1=0.7437
Epoch 284: Loss=0.4551, Accuracy=74.5382, Precision=0.7483, F1=0.7442
Epoch 285: Loss=0.4556, Accuracy=74.5315, Precision=0.7454, F1=0.7431
Epoch 286: Loss=0.4512, Accuracy=74.7942, Precision=0.7497, F1=0.7459
Epoch 287: Loss=0.4516, Accuracy=74.7903, Precision=0.7498, F1=0.7459
Epoch 288: Loss=0.4535, Accuracy=74.5814, Precision=0.7489, F1=0.7436
Epoch 289: Loss=0.4528, Accuracy=74.8306, Precision=0.7487, F1=0.7471
Epoch 290: Loss=0.4537, Accuracy=74.7970, Precision=0.7496, F1=0.7458
Epoch 291: Loss=0.4534, Accuracy=74.5967, Precision=0.7468, F1=0.7442
Epoch 292: Loss=0.4547, Accuracy=74.7453, Precision=0.7491, F1=0.7451
Epoch 293: Loss=0.4511, Accuracy=74.8526, Precision=0.7489, F1=0.7459
Epoch 294: Loss=0.4537, Accuracy=74.7041, Precision=0.7473, F1=0.7454
Epoch 295: Loss=0.4526, Accuracy=74.7165, Precision=0.7476, F1=0.7449
Epoch 296: Loss=0.4519, Accuracy=74.6772, Precision=0.7491, F1=0.7446
Epoch 297: Loss=0.4503, Accuracy=74.7875, Precision=0.7496, F1=0.7456
Epoch 298: Loss=0.4510, Accuracy=74.9763, Precision=0.7519, F1=0.7472
Epoch 299: Loss=0.4514, Accuracy=74.9245, Precision=0.7501, F1=0.7476
Epoch 300: Loss=0.4519, Accuracy=74.8200, Precision=0.7494, F1=0.7459
Epoch 301: Loss=0.4500, Accuracy=74.6858, Precision=0.7491, F1=0.7451
Epoch 302: Loss=0.4512, Accuracy=74.7712, Precision=0.7474, F1=0.7456
Epoch 303: Loss=0.4516, Accuracy=74.8977, Precision=0.7504, F1=0.7471
Epoch 304: Loss=0.4508, Accuracy=74.7654, Precision=0.7478, F1=0.7461
Epoch 305: Loss=0.4534, Accuracy=74.7271, Precision=0.7495, F1=0.7454
Epoch 306: Loss=0.4524, Accuracy=74.7817, Precision=0.7495, F1=0.7459
Epoch 307: Loss=0.4496, Accuracy=74.9063, Precision=0.7522, F1=0.7479
Epoch 308: Loss=0.4492, Accuracy=74.8402, Precision=0.7500, F1=0.7464
Epoch 309: Loss=0.4499, Accuracy=74.8095, Precision=0.7493, F1=0.7459
Epoch 310: Loss=0.4483, Accuracy=74.9168, Precision=0.7484, F1=0.7470
Epoch 311: Loss=0.4498, Accuracy=74.8574, Precision=0.7504, F1=0.7470
Epoch 312: Loss=0.4466, Accuracy=74.8210, Precision=0.7494, F1=0.7466
Epoch 313: Loss=0.4476, Accuracy=74.8066, Precision=0.7494, F1=0.7458
Epoch 314: Loss=0.4466, Accuracy=74.9811, Precision=0.7514, F1=0.7468
Epoch 315: Loss=0.4460, Accuracy=75.0079, Precision=0.7515, F1=0.7490
Epoch 316: Loss=0.4455, Accuracy=74.9561, Precision=0.7511, F1=0.7482
Epoch 317: Loss=0.4465, Accuracy=74.9408, Precision=0.7506, F1=0.7471
Epoch 318: Loss=0.4478, Accuracy=74.7740, Precision=0.7485, F1=0.7464
